"","long","lat","group","order","region","subregion","IS","DS","TS"
"1204",-85.8176193237305,34.2285003662109,25,1204,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1205",-85.8348083496094,34.2285003662109,25,1205,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1206",-85.8348083496094,34.211311340332,25,1206,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1207",-85.8749160766602,34.2055816650391,25,1207,"alabama","de kalb",1.55661909976886,0.0897658136035827,0.823192456686222
"1209",-86.4192199707031,32.4179534912109,26,1209,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1210",-86.4192199707031,32.7044296264648,26,1210,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1211",-86.4192199707031,32.7559967041016,26,1211,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1212",-86.3791122436523,32.7502670288086,26,1212,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1213",-86.3332824707031,32.7559967041016,26,1213,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1214",-86.3332824707031,32.7674560546875,26,1214,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1215",-86.3218231201172,32.7674560546875,26,1215,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1216",-86.3160934448242,32.7559967041016,26,1216,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1217",-86.0124206542969,32.7502670288086,26,1217,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1218",-85.8921051025391,32.7502670288086,26,1218,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1219",-85.8863677978516,32.7502670288086,26,1219,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1220",-85.897834777832,32.7273483276367,26,1220,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1221",-85.903564453125,32.6986999511719,26,1221,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1222",-85.897834777832,32.6700553894043,26,1222,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1223",-85.8921051025391,32.6414070129395,26,1223,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1224",-85.8749160766602,32.5841102600098,26,1224,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1225",-85.8863677978516,32.5554618835449,26,1225,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1226",-85.8921051025391,32.538272857666,26,1226,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1227",-85.8863677978516,32.5096244812012,26,1227,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1228",-85.8691864013672,32.4924354553223,26,1228,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1229",-85.8634567260742,32.4809799194336,26,1229,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1230",-85.8634567260742,32.4752464294434,26,1230,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1231",-85.8921051025391,32.4580612182617,26,1231,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1232",-85.9150238037109,32.4580612182617,26,1232,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1233",-85.9264755249023,32.4580612182617,26,1233,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1234",-85.9494018554688,32.4580612182617,26,1234,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1235",-85.9665832519531,32.4637908935547,26,1235,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1236",-85.9837799072266,32.4637908935547,26,1236,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1237",-85.9952392578125,32.4580612182617,26,1237,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1238",-86.0066909790039,32.4408721923828,26,1238,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1239",-86.0296173095703,32.4236831665039,26,1239,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1240",-86.0467987060547,32.412223815918,26,1240,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1241",-86.0869140625,32.4236831665039,26,1241,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1242",-86.1212921142578,32.4351425170898,26,1242,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1243",-86.1499328613281,32.4408721923828,26,1243,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1244",-86.1728515625,32.4408721923828,26,1244,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1245",-86.1900405883789,32.4408721923828,26,1245,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1246",-86.1843109130859,32.4580612182617,26,1246,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1247",-86.2129592895508,32.4752464294434,26,1247,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1248",-86.2244186401367,32.4981651306152,26,1248,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1249",-86.2473373413086,32.4981651306152,26,1249,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1250",-86.2702560424805,32.4981651306152,26,1250,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1251",-86.2874450683594,32.4924354553223,26,1251,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1252",-86.3046340942383,32.4924354553223,26,1252,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1253",-86.3103637695312,32.4809799194336,26,1253,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1254",-86.3103637695312,32.4351425170898,26,1254,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1255",-86.3160934448242,32.4236831665039,26,1255,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1256",-86.3332824707031,32.4351425170898,26,1256,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1257",-86.350471496582,32.4408721923828,26,1257,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1258",-86.356201171875,32.4351425170898,26,1258,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
"1259",-86.361930847168,32.4236831665039,26,1259,"alabama","elmore",1.00304673289325,0.620298121978246,0.811672427435749
